"ParentNode","ChildNode","SiteType","RKM","RKMTotal","nodeOrder"
"18MB0","18MA0","INT","522.303.416.092.001",1334,7
"LRWA0","18MB0","INT","522.303.416.092.001",1334,6
"18MA0","AB_18M","MRR","522.303.416.092",1333,8
"AFC","AB_AFC","MRR","522.234.024",780,9
"AGCA0","AB_AGC","MRR","522.303.416.039.014",1294,6
"BBA","AB_BBA","MRR","522.224.024.023",793,6
"BHCA0","AB_BHC","MRR","522.303.416.017.007",1265,6
"BRC","AB_BRC","MRR","522.303.319.170",1314,3
"BSCA0","AB_BSC","MRR","522.308.032.053",915,6
"BTMA0","AB_BTM","MRR","522.303.416.089.007",1337,12
"BTUA0","AB_BTU","MRR","522.303.416.089.012",1342,14
"CACA0","AB_CAC","MRR","522.303.416.090.014.003",1348,8
"CCAA0","AB_CCA","MRR","522.234.022",778,10
"CCWA0","AB_CCW","MRR","522.271.232.052.005",1082,5
"CLC","AB_CLC","MRR","522.224.120.004.001",871,3
"CMPA0","AB_CMP","MRR","522.308.032.002",864,6
"COCA0","AB_COC","MRR","522.308.006",836,4
"CRCA0","AB_CRC","MRR","522.303.408",1233,4
"CZYA0","AB_CZY","MRR","522.308.080",910,8
"ESSA0","AB_ESS","MRR","522.303.215.060.043",1143,5
"FISTRP","AB_FISTRP","MRR","522.224.120.037.039.007",949,5
"HECA0","AB_HEC","MRR","522.303.416.092.004",1337,8
"HLMA0","AB_HLM","MRR","522.224.024.083.005",858,5
"HYCA0","AB_HYC","MRR","522.303.416.049.014.004",1308,6
"IR1","AB_IR1","MRR","522.308.008",838,3
"JOHNSC","AB_JOHNSC","MRR","522.303.215.060.024.024",1148,6
"JUL","AB_JUL","MRR","522.224.024.065.022",857,3
"KENA0","AB_KEN","MRR","522.303.416.029",1270,6
"KHSA0","AB_KHS","MRR","522.224.024.023.002.008",803,5
"KRS","AB_KRS","MRR","522.303.215.099",1139,4
"LAPA0","AB_LAP","MRR","522.224.019",765,4
"LBSA0","AB_LBS","MRR","522.303.416.077",1318,8
"LC2","AB_LC2","MRR","522.224.087.041",874,4
"LCLA0","AB_LCL","MRR","522.303.416.079",1320,8
"LLRA0","AB_LLR","MRR","522.303.416.042",1283,4
"LLSA0","AB_LLS","MRR","522.303.416.066",1307,8
"LOSTIW","AB_LOSTIW","MRR","522.271.131.042",966,6
"LRU","AB_LRU","MRR","522.224.120.037.113.026",1042,4
"LRWA0","AB_LRW","MRR","522.303.416.092.022",1355,6
"LSHEEF","AB_LSHEEF","MRR","522.308.032.005.040",907,5
"LTRA0","AB_LTR","MRR","522.100",622,4
"MISA0","AB_MIS","MRR","522.224.019.016",781,6
"NFSA0","AB_NFS","MRR","522.303.381",1206,4
"PAHSIW","AB_PAHSIW","MRR","522.303.489.011",1325,5
"PCAA0","AB_PCA","MRR","522.303.338.047",1210,4
"PCMA0","AB_PCM","MRR","522.224.024.028",798,5
"SALSFW","AB_SALSFW","MRR","522.303.215.129",1169,7
"SC2","AB_SC2","MRR","522.224.120.101.028",995,4
"SFG","AB_SFG","MRR","522.303.215.063",1103,3
"SW1","AB_SW1","MRR","522.224.120.037.012",915,3
"SW2","AB_SW2","MRR","522.224.120.037.264",1167,4
"SWTA0","AB_SWT","MRR","522.224.019.010",775,6
"TAYA0","AB_TAY","MRR","522.303.319.029.038.024",1235,4
"USI","AB_USI","MRR","522.303.609.017",1451,4
"UTRA0","AB_UTR","MRR","522.100.066",688,8
"VC2A0","AB_VC2","INT","522.303.609.002",1436,6
"WEBA0","AB_WEB","MRR","522.224.019.010.006",781,8
"WENA0","AB_WEN","MRR","522.271.073.035",901,4
"WR1","AB_WR1","MRR","522.271.131.018.001",943,3
"WR2A0","AB_WR2","MRR","522.271.131.063.001",988,5
"YFKA0","AB_YNK","MRR","522.303.609",1434,6
"YPPA0","AB_YPP","MRR","522.303.215.060.042",1142,7
"ZENA0","AB_ZEN","MRR","522.303.215.059.048",1147,5
"ACBA0","ACB","INT","522.234.005",761,7
"ACBB0","ACBA0","INT","522.234.005",761,6
"ASOTIC","ACBB0","INT","522.234.005",761,5
"ACMB0","ACMA0","INT","522.234.001",757,3
"GRA","ACMB0","INT","522.234.001",757,2
"ACB","AFC","INT","522.234.025",781,8
"AGCB0","AGCA0","INT","522.303.416.039.001",1281,5
"LLRA0","AGCB0","INT","522.303.416.039.001",1281,4
"GRA","ALMOTC","MRR","522.164",686,2
"GRA","ALPOWC","MRR","522.205",727,2
"ACMA0","ASOTIC","MRR","522.234",756,4
"KHSA0","BBA","INT","522.224.024.023.002",795,5
"GRA","Below_GRA_Obs","MRR","1121.073.003.015",1212,2
"BHCB0","BHCA0","INT","522.303.416.017.001",1259,5
"LLRA0","BHCB0","INT","522.303.416.017.001",1259,4
"LB8A0","BIG8MC","MRR","522.303.416.073",1314,8
"GRA","BRC","INT","522.303.319.170.006",1320,2
"BSCB0","BSCA0","INT","522.308.032.006",868,5
"IR2","BSCB0","INT","522.308.032.006",868,4
"BTCB0","BTCA0","INT","522.303.416.089.001",1331,7
"LRWA0","BTCB0","INT","522.303.416.089.001",1331,6
"BTLA0","BTIMBC","MRR","522.303.416.089",1330,10
"BTLB0","BTLA0","INT","522.303.416.089.001",1331,9
"BTCA0","BTLB0","INT","522.303.416.089.001",1331,8
"BTMB0","BTMA0","INT","522.303.416.089.005",1335,11
"BTLA0","BTMB0","INT","522.303.416.089.005",1335,10
"BTUB0","BTUA0","INT","522.303.416.089.011",1341,13
"BTMA0","BTUB0","INT","522.303.416.089.011",1341,12
"CACB0","CACA0","INT","522.303.416.090.001",1332,7
"LRWA0","CACB0","INT","522.303.416.090.001",1332,6
"LRU","CANYOC","MRR","522.224.120.037.012",915,4
"CCWA0","CATHEW","MRR","522.271.232.032",1057,5
"CCAB0","CCAA0","INT","522.234.022.001",779,9
"ACB","CCAB0","INT","522.234.022.001",779,8
"CCWB0","CCWA0","INT","522.271.232.032",1057,4
"UGR","CCWB0","INT","522.271.232.032",1057,3
"GRA","CLC","INT","522.224.120.004.001",871,2
"GRA","CLEARWATER_OBS","MRR","522.224.120.037",903,2
"CMPB0","CMPA0","INT","522.308.032.002.002",866,5
"IR2","CMPB0","INT","522.308.032.002.002",866,4
"COCB0","COCA0","INT","522.308.006.001",837,3
"GRA","COCB0","INT","522.308.006.001",837,2
"CRCB0","CRCA0","INT","522.303.408.001",1234,3
"GRA","CRCB0","INT","522.303.408.001",1234,2
"CZYB0","CZYA0","INT","522.308.080.001",911,7
"IR3A0","CZYB0","INT","522.308.080.001",911,6
"IR5A0","DRY2C","MRR","522.308.090",920,14
"ESSB0","ESSA0","INT","522.303.215.060.021",1121,4
"SFG","ESSB0","INT","522.303.215.060.021",1121,3
"LRU","FISTRP","MRR","522.224.120.037.039.002",944,4
"IR3A0","FREEZC","MRR","522.308.059",889,6
"ACMA0","GEORGC","MRR","522.234.005",761,4
"GRA","GRA","INT","522.173",695,1
"UGSA0","GRANDW","MRR","522.271.307",1100,5
"IR5A0","GUMBTC","MRR","522.308.086",916,14
"HYCA0","HAYDEF","MRR","522.303.416.049.015",1305,6
"HECB0","HECA0","INT","522.303.416.092.004.001",1338,7
"LRWA0","HECB0","INT","522.303.416.092.004.001",1338,6
"HLMB0","HLMA0","INT","522.224.024.066",836,4
"JUL","HLMB0","INT","522.224.024.066",836,3
"IR2","HORS3C","MRR","522.308.018",848,4
"HYCB0","HYCA0","INT","522.303.416.049.001",1291,5
"LLRA0","HYCB0","INT","522.303.416.049.001",1291,4
"IML_B0","IML_A0","INT","522.308.084",914,10
"IML_C0","IML_B0","INT","522.308.084",914,9
"IR4A0","IML_C0","INT","522.308.084",914,8
"IML_A0","IMNAHW","MRR","522.308.084",914,11
"GRA","IR1","INT","522.308.007",837,2
"IR1","IR2","INT","522.308.010",840,3
"IR3B0","IR3A0","INT","522.308.041",871,5
"IR2","IR3B0","INT","522.308.041",871,4
"IR4B0","IR4A0","INT","522.308.084",914,7
"IR3A0","IR4B0","INT","522.308.084",914,6
"IR5B0","IR5A0","INT","522.308.084",914,13
"IMNAHW","IR5B0","INT","522.308.084",914,12
"JOCB0","JOCA0","INT","522.271.007.003",803,3
"GRA","JOCB0","INT","522.271.007.003",803,2
"ESSA0","JOHNSC","MRR","522.303.215.060.024",1124,5
"JOCA0","JOSEPC","MRR","522.271.007",800,4
"GRA","JUL","INT","522.224.024.014",784,2
"KENB0","KENA0","INT","522.303.416.029.000",1270,5
"LLRA0","KENB0","INT","522.303.416.029.000",1270,4
"KHSB0","KHSA0","INT","522.224.024.023.000",793,4
"JUL","KHSB0","INT","522.224.024.023.000",793,3
"SFG","KRS","INT","522.303.215.065",1105,3
"LAPB0","LAPA0","INT","522.224.019.001",766,3
"GRA","LAPB0","INT","522.224.019.001",766,2
"LB8B0","LB8A0","INT","522.303.416.073.001",1315,7
"LRWA0","LB8B0","INT","522.303.416.073.001",1315,6
"LBSB0","LBSA0","INT","522.303.416.077.001",1319,7
"LRWA0","LBSB0","INT","522.303.416.077.001",1319,6
"GRA","LC1","INT","522.224.087.021",854,2
"LC1","LC2","INT","522.224.087.025",858,3
"LCLB0","LCLA0","INT","522.303.416.079.001",1321,7
"LRWA0","LCLB0","INT","522.303.416.079.001",1321,6
"LLRB0","LLRA0","INT","522.303.416.001",1242,3
"GRA","LLRB0","INT","522.303.416.001",1242,2
"LLSB0","LLSA0","INT","522.303.416.066.000",1307,7
"LRWA0","LLSB0","INT","522.303.416.066.000",1307,6
"LRU","LOCHSA","MRR","522.224.120.037",903,4
"GRA","LOOKGC","MRR","522.271.137.003",933,2
"WR2A0","LOSTIW","MRR","522.271.131.042.001",967,5
"GRA","LRL","INT","522.224.120.037.001",904,2
"LRL","LRU","INT","522.224.120.037.003",906,3
"LRWB0","LRWA0","INT","522.303.416.050",1291,5
"LLRA0","LRWB0","INT","522.303.416.050",1291,4
"IR2","LSHEEF","MRR","522.308.032.005.008",875,4
"LTRB0","LTRA0","INT","522.100.003",625,3
"GRA","LTRB0","INT","522.100.003",625,2
"IR3A0","MAHOGC","MRR","522.308.083",913,6
"GRA","MFSR_OBS","MRR","522.303.319.170.015",1329,2
"MISB0","MISA0","INT","522.224.019.016.001",782,5
"LAPA0","MISB0","INT","522.224.019.016.001",782,4
"MTRB0","MTRA0","INT","522.100.019",641,5
"LTRA0","MTRB0","INT","522.100.019",641,4
"NFSB0","NFSA0","INT","522.303.381.001",1207,3
"GRA","NFSB0","INT","522.303.381.001",1207,2
"USI","PAHSIW","MRR","522.303.489.002",1316,4
"MTRA0","PATAHC","MRR","522.100.019",641,6
"PCAB0","PCAA0","INT","522.303.338.005",1168,3
"GRA","PCAB0","INT","522.303.338.005",1168,2
"PCMB0","PCMA0","INT","522.224.024.028.001",799,4
"JUL","PCMB0","INT","522.224.024.028.001",799,3
"GRA","PENAWC","MRR","522.145",667,2
"GRA","RAPH","MRR","522.303.140.007.012",984,2
"SC2","REDR","MRR","522.224.120.101",967,4
"USI","SALEFT","MRR","522.303.552.029",1406,4
"GRA","SALMON_OBS","MRR","522.303.552",1377,2
"STR_A0","SALSFW","MRR","522.303.215.118",1158,6
"STL_A0","SAWT","MRR","522.303.617",1442,6
"GRA","SC1","INT","522.224.120.001",867,2
"SC1","SC2","INT","522.224.120.002",868,3
"GRA","SFG","INT","522.303.215.030",1070,2
"GRA","SNAKE_OBS","MRR","522.271.232",1025,2
"STL_B0","STL_A0","INT","522.303.617.000",1442,5
"USI","STL_B0","INT","522.303.617.000",1442,4
"STR_B0","STR_A0","INT","522.303.215.115",1155,5
"KRS","STR_B0","INT","522.303.215.115",1155,4
"GRA","SW1","INT","522.224.120.037.005",908,2
"SW1","SW2","INT","522.224.120.037.013",916,3
"SWTB0","SWTA0","INT","522.224.019.010.001",776,5
"LAPA0","SWTB0","INT","522.224.019.010.001",776,4
"TAYB0","TAYA0","INT","522.303.319.029.011",1184,3
"GRA","TAYB0","INT","522.303.319.029.011",1184,2
"GRA","TENMC2","MRR","522.237",759,2
"GRA","UGR","INT","522.271.155",948,2
"UGSB0","UGSA0","INT","522.271.291",1084,4
"UGR","UGSB0","INT","522.271.291",1084,3
"GRA","USE","INT","522.303.437",1262,2
"USE","USI","INT","522.303.460",1285,3
"UTRB0","UTRA0","INT","522.100.053",675,7
"MTRA0","UTRB0","INT","522.100.053",675,6
"VC2B0","VC2A0","INT","522.303.609.001",1435,5
"USI","VC2B0","INT","522.303.609.001",1435,4
"WEBB0","WEBA0","INT","522.224.019.010.006.001",782,7
"SWTA0","WEBB0","INT","522.224.019.010.006.001",782,6
"WENB0","WENA0","INT","522.271.073.001",867,3
"GRA","WENB0","INT","522.271.073.001",867,2
"WPCA0","WIMPYC","MRR","522.303.416.020",1261,6
"WPCB0","WPCA0","INT","522.303.416.020.001",1262,5
"LLRA0","WPCB0","INT","522.303.416.020.001",1262,4
"GRA","WR1","INT","522.271.131.014",938,2
"WR2B0","WR2A0","INT","522.271.131.032",956,4
"WR1","WR2B0","INT","522.271.131.032",956,3
"YFKB0","YFKA0","INT","522.303.591.003",1419,5
"USI","YFKB0","INT","522.303.591.003",1419,4
"YPPB0","YPPA0","INT","522.303.215.060.042",1142,6
"ESSA0","YPPB0","INT","522.303.215.060.042",1142,5
"ZENB0","ZENA0","INT","522.303.215.059.003",1102,4
"SFG","ZENB0","INT","522.303.215.059.003",1102,3
